unique_moving_id,study_id,location_id,moving_time_start,moving_time_end,moving_day_of_week,moving_time_of_day,moving_count_surveyor,moving_conditions,moving_microclimate,moving_temperature,moving_row_id,moving_row_total,moving_male,moving_male_mobility_assist,moving_female,moving_female_mobility_assist,moving_other_unsure,moving_other_unsure_mobility_assist,moving_total_mobility_assist,moving_groupsize_1,moving_groupsize_2,moving_groupsize_3,moving_groupsize_4,moving_groupsize_5,moving_groupsize_6,moving_groupsize_7,moving_groupsize_8,moving_groupsize_9,moving_groupsize_10+,moving_0-4,moving_5-14,moving_15-24,moving_25-44,moving_45-64,moving_65+,moving_25_64,moving_pedestrian,moving_micromobility,moving_bicycling,moving_motorized,moving_supported,moving_notes
1,2018_Seattle_Citywide,MAP1,08/02/2018 08:01:00 AM,08/02/2018 08:11:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,10,,,,,,,,6,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2,2018_Seattle_Citywide,MAP1,08/02/2018 08:11:00 AM,08/02/2018 08:21:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,2,21,12,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
3,2018_Seattle_Citywide,MAP1,08/02/2018 12:00:00 PM,08/02/2018 12:10:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,38,,,,,,,,26,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
4,2018_Seattle_Citywide,MAP1,08/02/2018 12:10:00 PM,08/02/2018 12:20:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,2,32,10,,22,,0,,1,,,,,,,,,,,,,,,,,,,,,,,
5,2018_Seattle_Citywide,MAP1,08/02/2018 04:00:00 PM,08/02/2018 04:10:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,38,,,,,,,,18,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,
6,2018_Seattle_Citywide,MAP1,08/02/2018 04:10:00 PM,08/02/2018 04:20:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,2,39,16,,22,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
7,2018_Seattle_Citywide,MAP1,08/03/2018 08:00:00 AM,08/03/2018 08:10:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,19,,,,,,,,8,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,
8,2018_Seattle_Citywide,MAP1,08/03/2018 08:11:00 AM,08/03/2018 08:21:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,2,19,10,,8,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
9,2018_Seattle_Citywide,MAP1,08/03/2018 12:10:00 PM,08/03/2018 12:20:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,29,,,,,,,,17,4,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
10,2018_Seattle_Citywide,MAP1,08/03/2018 12:20:00 PM,08/03/2018 12:30:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,2,27,10,,15,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
