unique_staying_id,study_id,location_id,staying_time_start,staying_time_end,staying_day_of_week,staying_time_of_day,staying_count_surveyor,staying_conditions,staying_microclimate,staying_temperature,staying_row_total,staying_group_size,staying_race_ethnicity,staying_gender,staying_age,standing,leaning,sitting_formal_all,sitting_formal_public,sitting_formal_public_fixed_bench,sitting_formal_public_fixed_wall_with_seats,sitting_formal_public_movable_seat,sitting_formal_commercial,sitting_formal_private,sitting_informal,lying,staying_mobility_assist,commercial_all,commercial_selling,commercial_selling_informal,commercial_buying,commercial_observing,eating_drinking,talking_to_others,smoking,cultural,recreation_active,recreation_passive,waiting_transportation,working_civic,disruptive,disruptive_aggressive,disruptive_intoxicated,living_public,using_electronics,soliciting,staying_covid_mask,staying_covid_social_distance,taking_care_child,feeding_child,staying_notes
1,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,3,L,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
2,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,3,L,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
3,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,3,U,Other_Unsure,0-4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
4,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
5,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,2,W,Male,25-44,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
6,2018_Seattle_Citywide,MAP1,08/02/2018 08:20:00 AM,08/02/2018 08:40:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,58,1,2,W,Other_Unsure,0-4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
7,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,
8,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,65+,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,
9,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,L,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
10,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
11,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
12,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
13,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,25-44,1,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
14,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
15,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
16,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,25-44,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
17,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,1,W,Female,25-44,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
18,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,1,,,,,,
19,2018_Seattle_Citywide,MAP1,08/02/2018 12:20:00 PM,08/02/2018 12:40:00 PM,Weekday,Midday,UD4H,,Heavy Clouds,60,1,2,W,Male,25-44,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
20,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,2,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
21,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,2,W,Female,25-44,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
22,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,1,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,1,1,,,,,1,,,,,,,,,,,,,
23,2018_Seattle_Citywide,MAP1,08/02/2018 04:22:00 PM,08/02/2018 04:42:00 PM,Weekday,Evening,UD4H,,Heavy Clouds,67,1,1,W,Male,45-64,1,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,
24,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
25,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
26,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Male,0-4,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
27,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,4,W,Other_Unsure,0-4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
28,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Female,45-64,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
29,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Male,25-44,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
30,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,2,W,Male,15-24,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
31,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,2,W,Female,15-24,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
32,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Male,25-44,1,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,
33,2018_Seattle_Citywide,MAP1,08/03/2018 08:22:00 AM,08/03/2018 08:42:00 AM,Weekday,Morning,UD4H,,Heavy Clouds,59,1,1,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,
34,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Male,65+,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,
35,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
36,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Male,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,
37,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,4,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
38,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,1,,,,,,
39,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,45-64,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
40,2018_Seattle_Citywide,MAP1,08/03/2018 12:22:00 PM,08/03/2018 12:42:00 PM,Weekday,Midday,UD4H,,Light Clouds,68,1,2,W,Female,65+,,,1,1,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
